Buriánek Prokop;[2002];['NEZÁVISLÍ'];['939'];['1.84'];['32'];['30'];['58'];['NO'];0
Bůta Vladimír;[2002];['Strana svobodných severu'];['293'];['8.30'];['3'];['\xa0'];['45'];['NO'];1
Cerman Marek;[2002, 2006, 2018];['Občanská demokratická strana', 'Občanská demokratická strana', 'Občanská demokratická strana'];['6529', '7562', '2506'];['2.39', '2.31', '2.51'];['32', '37', '26'];['19', '25', '22'];['27', '31', '43'];['NO', 'NO', 'NO'];0
Cihlář Milan;[2002];['Republikáni Miroslava Sládka'];['114'];['7.78'];['6'];['\xa0'];['21'];['NO'];0
Cimpl Jaroslav;[2002];['Hn.za harm.rozvoj obcí a měst'];['383'];['1.97'];['18'];['\xa0'];['31'];['NO'];0
Ciprová Marie;[2002];['Str.pro otevřenou společnost'];['2045'];['2.08'];['33'];['29'];['73'];['NO'];1
Cupáková Dana;[2002];['Demokratická regionální strana'];['1360'];['2.25'];['23'];['20'];['43'];['NO'];1
Cvejn Zdeněk;[2002];['Křesť.demokr.unie-Čs.str.lid.'];['1058'];['2.98'];['11'];['\xa0'];['47'];['NO'];1
Cvrček Stanislav;[2002];['Unie pro sport a zdraví'];['3063'];['4.32'];['4'];['3'];['48'];['YES'];1
Cvrček Vladimír;[2002];['Str.pro otevřenou společnost'];['2307'];['2.35'];['25'];['21'];['63'];['NO'];1
Čajkovič František;[2002];['Unie svobody-Demokratická unie'];['1148'];['2.12'];['30'];['28'];['21'];['NO'];0
Čech Jaroslav;[2002];['Strana svobodných severu'];['101'];['2.86'];['9'];['\xa0'];['55'];['NO'];1
Čejka Pavel;[2002];['Demokratická regionální strana'];['2048'];['3.40'];['8'];['2'];['43'];['NO'];1
Černá Miloslava;[2002];['Unie svobody-Demokratická unie'];['1309'];['2.42'];['15'];['14'];['57'];['NO'];0
Černík Ivo;[2002];['Hn.za harm.rozvoj obcí a měst'];['432'];['2.22'];['9'];['\xa0'];['58'];['NO'];0
Černík Lubor;[2002];['Hn.za harm.rozvoj obcí a měst'];['349'];['1.80'];['39'];['\xa0'];['49'];['NO'];0
Červinka Ondřej;[2002];['Občanská demokratická strana'];['7566'];['2.77'];['3'];['5'];['25'];['YES'];1
Červinková Alena;[2002];['NEZÁVISLÍ'];['1000'];['1.96'];['23'];['21'];['41'];['NO'];1
Čeřovská Hana;[2002];['Pravý Blok'];['150'];['5.21'];['5'];['\xa0'];['48'];['NO'];0
Čeřovský Jakub;[2002];['Volba pro město'];['1153'];['2.73'];['16'];['\xa0'];['25'];['NO'];0
Čvančara Alois;[2002];['Demokratická regionální strana'];['3491'];['5.79'];['2'];['2'];['57'];['YES'];1
Daňková Eva;[2002];['Volba pro město'];['1071'];['2.53'];['11'];['\xa0'];['50'];['NO'];1
Děkan Rudolf;[2002];['Unie svobody-Demokratická unie'];['947'];['1.75'];['38'];['36'];['32'];['NO'];0
Didi Julius;[2002, 2014];['Unie svobody-Demokratická unie', 'Liberec ještě žije'];['1231', '385'];['2.27', '2.36'];['25', '16'];['23', '-'];['21', '33'];['NO', 'NO'];0
Dlabola Karel;[2002];['Str.pro otevřenou společnost'];['2253'];['2.30'];['31'];['27'];['63'];['NO'];0
Dlask Miloš;[2002];['Křesť.demokr.unie-Čs.str.lid.'];['820'];['2.31'];['20'];['\xa0'];['31'];['NO'];1
Doležal Bohumír;[2002];['Česká str.sociálně demokrat.'];['4188'];['2.69'];['12'];['5'];['49'];['NO'];1
Dostrašilová Věra;[2002, 2006, 2010, 2014];['Hn.za harm.rozvoj obcí a měst', 'SNK ED a nezávislí společně', 'Věci veřejné', 'Nový směr-společná kandidátka'];['399', '1856', '2462', '785'];['2.05', '2.57', '2.78', '2.77'];['22', '13', '7', '6'];['\xa0', '11', '4', '-'];['38', '42', '46', '50'];['NO', 'NO', 'NO', 'NO'];0
Dräger Martin;[2002];['NEZÁVISLÍ'];['1352'];['2.66'];['17'];['15'];['49'];['NO'];0
Dragounová Věra;[2002];['Demokratická regionální strana'];['984'];['1.63'];['38'];['35'];['50'];['NO'];0
Duda Martin;[2002];['Naděje'];['250'];['2.76'];['22'];['\xa0'];['40'];['NO'];1
Dufek Michael;[2002, 2006, 2010];['Občanská demokratická strana', 'Občanská demokratická strana', 'Občanská demokratická strana'];['7400', '8538', '5790'];['2.70', '2.61', '2.68'];['10', '9', '7'];['11', '9', '7'];['26', '30', '34'];['YES', 'YES', 'YES'];0
